"";"cluster";"present_in_n_genomes";"cluster_type_manual";"Afumigatus";"Aoryzae";"Aniger"
"1";1;1;"singleton";"";"";"1176805;1166576;1137433;1219101;1092546;1219103;1124823;1109185;1062032;1219105;1124824;1109186;1092436;1066730;118601;1068653;1092269;1109184;1124822;1219099;1159397;1219107;1153377;1219108;1146070;1186428"
"2";3;3;"core";"AFUA_1G10380";"AO090038000390";"1155376;1227500;1098894;52774;1160938;1129456;1077137;1227498;1140485;1168912;1188897;1179943;1227504;1113810;1227502;1073154;1148183;1148184;1113809"
"3";4;1;"singleton";"";"";"1208547;1073657;1133445;1163524;1085834;1103534;1172697;1183226;1150788;1103536;1208551;1076803;1085410;1119150;1157417;1208549;1073646;1085877;1103537;1119151;1119149;1085686;1208540;1103535;1073685;1208543;1119147;1085790;1103533;1070034;1119152;1208555;1103538;1085742;1076207;1143350;1119148"
"4";5;1;"singleton";"";"";"1211383;1134589;1071668;1211380;1087130;1151484;1211376;1184085;1173865;1086350;1211385;1120571;1069941;1104936;182031;1086183;1120570;1077955;1104935;1086893;1211382;1104934;1120569;1078067;1086286;1070633;1164338"
"5";6;1;"singleton";"";"";"1125173;55153;1093151;1219710;1109535;1166745;1219712;1137624;1186604;1177000;1125174;1109539;1125176;1092881;1061706;1109541;1092905;1125177;1068117;1109542;1093579;1093498;1125171;1125170;1109538;1109537;1068041;1061187;1146249;1146250;1068326"
"6";8;1;"singleton";"";"";"1182984;1163285;1076170;1118591;1102975;1207599;1133090;1084493;1072211;1118589;1102974;1207601;1084721;1084566;1118590;118599;1073204;1102976;1143154;1172345"
"7";11;1;"singleton";"";"";"1172414;1084831;1207703;1207704;1133165;1084680;1069311;1150571;1207705;43807;1072487;1207706;1084542;1078753"
"8";12;3;"core";"AFUA_2G12150";"AO090026000431";"1106345;1106346;1121983;1121982;1185032;1089384;1088895;1175042;1068101;36871;1165242;1135712;1062431;1214488;1061199;1121981;1089917;1214485;1106344;1214491;1152146;1158446"
"9";13;3;"core";"AFUA_1G17200";"AO090023000528";"1169434;1114580;1130231;1141153;1098781;1229175;1078070;1099093;207636;1098551;1076153;1114581;1114582;1069260;1130232;1130233;1180637;1189447"
"10";15;3;"core";"AFUA_5G11810";"AO090120000298";"1113162;1155144;1097025;1077459;1097062;1073683;1140007;1097461;1160723;186897;1128808;1168488;1128809;1128810;1076141;1113164;1226305;1113163;1188444;1179448;1226307;1155145;1147756"
"11";16;3;"core";"AFUA_4G10780";"AO090003001136;AO090003001134";"1126820;1064327;1222583;1111175;1160049;1154183;1222581;1126822;1167505;1126819;1187403;1066718;1178004;1111176;1094337;1138601;1111174;1222589;1093952;1067352;51182;1126821;1111177;1094341;1222587;1068690;1094345"
