"Aoryzae";"cluster"
"AO090038000390";"cluster_3"
"AO090026000431";"cluster_12"
"AO090023000528";"cluster_13"
"AO090120000298";"cluster_15"
"AO090003001136";"cluster_16"
"AO090003001134";"cluster_16"
"AO090113000209";"cluster_24"
"AO090102000372";"cluster_25"
"AO090003000026";"cluster_35"
"AO090003000027";"cluster_35"
"AO090701000253";"cluster_36"
"AO090010000034";"cluster_36"
"AO090701000244";"cluster_36"
"AO090120000393";"cluster_37"
"AO090120000392";"cluster_37"
"AO090026000261";"cluster_38"
"AO090003001064";"cluster_39"
"AO090005000696";"cluster_48"
"AO090102000221";"cluster_46"
"AO090005001483";"cluster_44"
"AO090011000902";"cluster_50"
"AO090011000901";"cluster_50"
"AO090009000071";"cluster_47"
"AO090010000193";"cluster_53"
"AO090020000430";"cluster_56"
"AO090020000429";"cluster_56"
"AO090023000519";"cluster_57"
"AO090120000483";"cluster_58"
"AO090020000318";"cluster_63"
"AO090003000101";"cluster_64"
"AO090011000858";"cluster_67"
"AO090102000272";"cluster_68"
"AO090120000394";"cluster_72"
"AO090010000114";"cluster_71"
"AO090038000086";"cluster_73"
"AO090001000506";"cluster_73"
"AO090009000052";"cluster_75"
"AO090001000658";"cluster_77"
"AO090001000657";"cluster_77"
"AO090011000559";"cluster_83"
"AO090011000561";"cluster_83"
"AO090011000562";"cluster_83"
"AO090020000518";"cluster_81"
"AO090038000280";"cluster_86"
"AO090038000279";"cluster_86"
"AO090023000483";"cluster_87"
"AO090011000630";"cluster_87"
"AO090005001555";"cluster_78"
"AO090005000443";"cluster_91"
"AO090005000444";"cluster_91"
"AO090038000542";"cluster_93"
"AO090206000006";"cluster_97"
"AO090124000090";"cluster_105"
"AO090011000785";"cluster_106"
"AO090011000786";"cluster_106"
"AO090011000789";"cluster_106"
"AO090010000106";"cluster_107"
"AO090026000523";"cluster_107"
"AO090003001500";"cluster_107"
"AO090026000655";"cluster_41"
"AO090011000608";"cluster_100"
"AO090005000714";"cluster_113"
"AO090003000559";"cluster_114"
"AO090003000560";"cluster_114"
"AO090001000414";"cluster_119"
"AO090012000304";"cluster_109"
"AO090001000079";"cluster_109"
"AO090012000307";"cluster_109"
"AO090011000838";"cluster_120"
"AO090005000152";"cluster_125"
"AO090005000151";"cluster_125"
"AO090005000150";"cluster_125"
"AO090005001292";"cluster_127"
"AO090026000340";"cluster_122"
"AO090701000044";"cluster_130"
"AO090701000043";"cluster_130"
"AO090003000445";"cluster_132"
"AO090120000302";"cluster_135"
"AO090120000305";"cluster_135"
"AO090120000304";"cluster_135"
"AO090120000216";"cluster_136"
"AO090120000217";"cluster_136"
"AO090103000311";"cluster_136"
"AO090023000766";"cluster_139"
"AO090023000768";"cluster_139"
"AO090023000765";"cluster_139"
"AO090020000450";"cluster_143"
"AO090012000988";"cluster_141"
"AO090102000545";"cluster_147"
"AO090001000512";"cluster_145"
"AO090001000497";"cluster_148"
"AO090020000625";"cluster_149"
"AO090020000626";"cluster_149"
"AO090026000797";"cluster_152"
"AO090003001351";"cluster_158"
"AO090003000915";"cluster_160"
"AO090120000087";"cluster_159"
