cluster_number,cluster_type,fumigatus,niger,oryzae
0,unique,AFUA_5G12730,,
1,unique,,estExt_Genemark1.C_chr_5030003,
2,unique,,,AO090011000043
3,core,AFUA_1G10380,estExt_Genewise1.C_chr_802_t10187,AO090038000390
4,unique,,estExt_Genewise1Plus.C_chr_302_t10116,
5,unique,,estExt_fgenesh1_pg.C_chr_304_t20072,
6,unique,,gw1.601.1044.1,
7,unique,AFUA_2G08060,,
8,unique,,gm1.2798_g,
9,unique,,,AO090001000262
10,unique,,,AO090103000355
11,unique,,gw1.301.838.1,
12,core,AFUA_2G12150,estExt_Genewise1.C_chr_402_t20222,AO090026000431
13,core,AFUA_1G17200,estExt_fgenesh1_pg.C_chr_802_t20342,AO090023000528
14,unique,,,AO090011000895
15,core,AFUA_5G11810,estExt_Genewise1.C_chr_801_t10269,AO090120000298
16,core,AFUA_4G10780,e_gw1.602.484.1,AO090003001136
17,unique,,Aspni5.fgenesh1_pg.C_scaffold_9000183,
18,unique,AFUA_8G00540,,
19,unique,,,AO090020000380
20,unique,,estExt_fgenesh1_pg.C_chr_802_t10277,
21,unique,AFUA_6G12080,,
22,unique,,,AO090001000277
23,unique,,fgenesh1_pg.chr_201_#_215,
24,exclusively_absent,,gm1.9718_g,AO090113000209
25,core,AFUA_5G02570,fgenesh1_pg.chr_402_#_788,AO090102000372
26,unique,,MIX14842_20_18,
27,unique,,estExt_Genemark1.C_chr_701_t20029,
28,unique,,gm1.8777_g,
29,unique,,e_gw1.701.747.1,
30,unique,,,AO090103000224
31,unique,,fgenesh1_pg.chr_401_#_3,
32,unique,,,AO090038000543
33,unique,,MIX1867_25_14,
34,unique,,fgenesh1_pm.chr_802_#_410,
35,core,AFUA_6G06540,estExt_fgenesh1_pg.C_chr_801_t10482,AO090003000026
36,core,AFUA_5G07180,fgenesh1_pg.chr_501_#_142,AO090701000253
37,core,AFUA_5G12660,MIX2857_40_31,AO090120000393
38,core,AFUA_2G13520,gw1.402.445.1,AO090026000261
39,core,AFUA_4G11560,gw1.602.94.1,AO090003001064
40,unique,,gw1.802.839.1,
41,core,AFUA_2G03030,estExt_fgenesh1_pm.C_chr_4010258,AO090026000655
42,exclusively_absent,AFUA_4G00530,,AO090005000230
43,unique,,,AO090001000009
44,core,AFUA_3G07860,e_gw1.402.1863.1,AO090005001483
45,unique,,,AO090102000465
46,core,AFUA_2G16420,estExt_fgenesh1_pg.C_chr_304_t20020,AO090102000221
47,exclusively_absent,,fgenesh1_pm.chr_301_#_146,AO090009000071
48,core,AFUA_8G04740,Aspni5.e_gw1.18.215.1,AO090005000696
49,unique,,MIX327_1_1,
50,core,AFUA_2G07960,MIX8106_879_35,AO090011000902
51,unique,,gm1.9065_g,
52,unique,,gm1.1671_g,
53,core,AFUA_4G14070,estExt_Genewise1.C_chr_3030148,AO090010000193
54,unique,,estExt_fgenesh1_pg.C_chr_304_t10189,
55,unique,,gm1.9086_g,
56,core,AFUA_5G08700,estExt_Genemark1.C_chr_401_t10355,AO090020000430
57,core,AFUA_6G11010,gm1.10819_g,AO090023000519
58,core,AFUA_5G13380,fgenesh1_pg.chr_102_#_382,AO090120000483
59,unique,,gm1.7468_g,
60,exclusively_absent,,gm1.176_g,AO090009000131
61,unique,,MIX22883_3_5,
62,unique,,estExt_fgenesh1_pg.C_chr_304_t10315,
63,core,AFUA_3G06790,fgenesh1_pg.chr_701_#_754,AO090020000318
64,core,AFUA_6G08240,MIX23309_36_36,AO090003000101
65,unique,,gw1.101.497.1,
66,exclusively_absent,AFUA_2G01290,MIX20380_5_14,
67,core,AFUA_2G08440,estExt_fgenesh1_pm.C_chr_3020059,AO090011000858
68,core,AFUA_5G02140,fgenesh1_pg.chr_402_#_830,AO090102000272
69,exclusively_absent,AFUA_1G17740,estExt_Genewise1.C_chr_801_t10239,
70,unique,,gm1.6427_g,
71,exclusively_absent,,fgenesh1_pm.chr_301_#_182,AO090010000114
72,core,AFUA_5G12670,e_gw1.102.325.1,AO090120000394
73,exclusively_absent,,Aspni5.gw1.2.5.1,AO090001000506
74,unique,,fgenesh1_pg.chr_101_#_150,
75,exclusively_absent,AFUA_3G01410,,AO090009000052
76,unique,,,AO090020000186
77,core,AFUA_2G05470,estExt_fgenesh1_pg.C_chr_701_t20234,AO090001000658
78,core,AFUA_6G07440,gw1.401.430.1,AO090005001555
79,unique,,e_gw1.202.696.1,
80,unique,,,AO090701000826
81,core,AFUA_5G09220,Aspni5.estExt_GeneWisePlus.C_51123,AO090020000518
82,unique,,,AO090038000210
83,core,AFUA_2G10730,estExt_fgenesh1_pg.C_chr_402_t10206,AO090011000559
84,unique,,MIX20575_4_17,
85,unique,AFUA_3G14700,,
86,core,AFUA_1G11450,gm1.10488_g,AO090038000280
87,core,AFUA_6G11310,estExt_Genemark1.C_chr_802_t20077,AO090023000483
88,unique,,e_gw1.701.152.1,
89,unique,,,AO090005000798
90,unique,,estExt_Genewise1.C_chr_304_t20080,
91,core,AFUA_7G05790,estExt_Genewise1.C_chr_401_t10149,AO090005000443
92,unique,,estExt_Genewise1.C_chr_602_t20122,
93,exclusively_absent,,MIX7645_13_18,AO090038000542
94,exclusively_absent,AFUA_3G02530,gw1.101.578.1,
95,unique,,MIX24918_19_37,
96,unique,,,AO090001000293
97,core,AFUA_4G04760,estExt_Genewise1Plus.C_chr_102_t10012,AO090206000006
98,unique,,Aspni5.fgenesh1_pg.C_scaffold_2000689,
99,unique,AFUA_8G00370,,
100,core,AFUA_2G10270,estExt_Genewise1.C_chr_502_t20415,AO090011000608
101,unique,,,AO090010000402
102,unique,,fgenesh1_pg.chr_101_#_104,
103,unique,,,AO090001000402
104,unique,AFUA_6G13930,,
105,core,AFUA_3G04300,gm1.1468_g,AO090124000090
106,core,AFUA_2G09120,gm1.3272_g,AO090011000785
107,core,AFUA_2G11270,estExt_Genewise1.C_chr_101_t10461,AO090003001500
108,unique,,,AO090102000166
109,core,AFUA_2G15200,Aspni5.estExt_GeneWisePlus.C_110630,AO090012000304
110,unique,,,AO090011000015
111,unique,,,AO090026000149
112,unique,,gm1.5293_g,
113,core,AFUA_3G12550,MIX14909_44_43,AO090005000714
114,core,AFUA_3G10240,estExt_Genewise1Plus.C_chr_502_t20321,AO090003000559
115,unique,,gm1.9124_g,
116,exclusively_absent,AFUA_3G15270,e_gw1.602.31.1,
117,unique,,gm1.3326_g,
118,unique,,fgenesh1_pg.chr_201_#_188,
119,core,AFUA_1G06330,e_gw1.801.412.1,AO090001000414
120,core,AFUA_2G08670,estExt_fgenesh1_pg.C_chr_302_t10108,AO090011000838
121,unique,,gm1.2039_g,
122,exclusively_absent,AFUA_2G12940,,AO090026000340
123,unique,,gw1.601.253.1,
124,unique,,e_gw1.202.1048.1,
125,core,AFUA_7G04600,estExt_Genewise1Plus.C_chr_2010169,AO090005000152
126,unique,,,AO090010000404
127,core,AFUA_3G09560,fgenesh1_pm.chr_502_#_269,AO090005001292
128,unique,,,AO090701000831
129,unique,,MIX8766_3_8,
130,core,AFUA_6G04940,estExt_Genewise1.C_chr_304_t10081,AO090701000044
131,unique,,estExt_Genemark1.C_chr_802_t10148,
132,core,AFUA_6G13200,MIX28454_24_37,AO090003000445
133,unique,,Aspni5.e_gw1.10.480.1,
134,unique,AFUA_8G00170,,
135,core,AFUA_5G11870,estExt_Genewise1Plus.C_chr_801_t10257,AO090120000302
136,core,AFUA_1G11230,fgenesh1_pg.chr_401_#_579,AO090120000216
137,unique,,estExt_fgenesh1_pg.C_chr_202_t20046,
138,unique,AFUA_3G12920,,
139,core,AFUA_4G08030,estExt_fgenesh1_pg.C_chr_602_t10204,AO090023000766
140,unique,AFUA_3G02570,,
141,core,AFUA_1G07380,MIX12929_25_44,AO090012000988
142,unique,,e_gw1.601.404.1,
143,core,AFUA_5G08830,MIX11861_1056_24,AO090020000450
144,unique,AFUA_2G17000,,
145,core,AFUA_6G08520,estExt_Genewise1Plus.C_chr_701_t10256,AO090001000512
146,unique,,estExt_Genemark1.C_chr_601_t10140,
147,core,AFUA_2G17600,fgenesh1_pm.chr_101_#_294,AO090102000545
148,core,AFUA_6G08420,fgenesh1_pm.chr_701_#_98,AO090001000497
149,core,AFUA_3G14370,e_gw1.101.215.1,AO090020000625
150,unique,,,AO090011000040
151,unique,,e_gw1.601.621.1,
152,core,AFUA_2G14800,gw1.304.899.1,AO090026000797
153,unique,AFUA_6G09660,,
154,unique,,,AO090023000877
155,core,AFUA_1G11110,estExt_Genewise1Plus.C_chr_802_t10266,AO090038000297
156,unique,,,AO090010000048
157,core,AFUA_5G09710,gw1.401.426.1,AO090005000276
158,core,AFUA_5G01730,estExt_fgenesh1_pg.C_chr_502_t10113,AO090003001351
159,core,AFUA_6G02060,estExt_Genewise1Plus.C_chr_302_t20221,AO090120000087
160,core,AFUA_1G04340,estExt_Genewise1.C_chr_202_t10463,AO090003000915
161,core,AFUA_3G03420,e_gw1.601.38.1,AO090103000167
162,core,AFUA_3G04220,MIX3857_7_12,AO090124000084
163,core,AFUA_4G08770,estExt_fgenesh1_pm.C_chr_6020159,AO090023000554
164,unique,,,AO090026000009
165,exclusively_absent,AFUA_3G03350,,AO090113000200
166,unique,AFUA_1G01010,,
167,exclusively_absent,,estExt_fgenesh1_pg.C_chr_3010241,AO090010000108
168,unique,,Aspni5.fgenesh1_pg.C_scaffold_11000394,
169,core,AFUA_3G05950,estExt_Genewise1Plus.C_chr_701_t40206,AO090020000064
170,exclusively_absent,AFUA_2G01760,fgenesh1_pg.chr_601_#_483,
171,core,AFUA_6G04080,fgenesh1_pm.chr_304_#_60,AO090701000132
172,core,AFUA_3G13790,fgenesh1_pg.chr_402_#_744,AO090012000773
173,core,AFUA_6G04830,estExt_fgenesh1_pg.C_chr_304_t10048,AO090701000056
174,core,AFUA_3G12810,fgenesh1_pm.chr_402_#_470,AO090012000841
175,exclusively_absent,,estExt_Genemark1.C_chr_3010042,AO090010000045
176,core,AFUA_2G01500,MIX20294_50_47,AO090701000809
177,core,AFUA_2G15010,estExt_Genewise1.C_chr_304_t10405,AO090012000420
178,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_12000259,AO090038000062
179,unique,,,AO090005000961
180,core,AFUA_1G03930,estExt_Genewise1.C_chr_202_t10399,AO090003000958
181,core,AFUA_4G03070,gw1.102.762.1,AO090102000248
182,core,AFUA_6G13120,gw1.802.696.1,AO090003000437
183,core,AFUA_1G02140,estExt_fgenesh1_pm.C_chr_202_t10296,AO090005000884
184,unique,,,AO090010000156
185,exclusively_absent,AFUA_1G13930,estExt_fgenesh1_pg.C_chr_802_t20026,
186,unique,AFUA_2G16462,,
187,unique,,gm1.5198_g,
188,unique,,gw1.802.1141.1,
189,unique,,MIX24226_2_2,
190,core,AFUA_7G02480,gm1.3089_g,AO090038000624
191,core,AFUA_2G05020,gm1.9160_g,AO090003000304
192,core,AFUA_3G10170,gw1.502.1084.1,AO090003000552
193,core,AFUA_1G01490,fgenesh1_pg.chr_304_#_560,AO090102000259
194,core,AFUA_2G06050,e_gw1.402.912.1,AO090001000720
195,core,AFUA_2G17180,MIX22737_35_36,AO090102000100
196,core,AFUA_7G05700,MIX11419_95_73,AO090005000435
197,core,AFUA_3G14590,estExt_fgenesh1_pg.C_chr_101_t10123,AO090701000490
198,core,AFUA_7G03760,gw1.201.98.1,AO090026000840
199,core,AFUA_4G11070,estExt_Genewise1.C_chr_602_t20297,AO090003001114
200,unique,,gw1.202.271.1,
201,core,AFUA_6G03960,gw1.304.674.1,AO090701000149
202,unique,,estExt_Genewise1.C_chr_202_t20329,
203,unique,,estExt_fgenesh1_pg.C_chr_401_t10413,
204,core,AFUA_4G11290,estExt_Genemark1.C_chr_602_t10430,AO090003001091
205,core,AFUA_5G03720,fgenesh1_pm.chr_101_#_319,AO090102000581
206,exclusively_absent,,fgenesh1_pg.chr_701_#_678,AO090005000067
207,core,AFUA_2G13290,e_gw1.402.1399.1,AO090026000289
208,unique,,fgenesh1_pm.chr_302_#_153,
209,core,AFUA_2G13360,Aspni5.e_gw1.2.1078.1,AO090026000309
210,unique,,e_gw1.304.937.1,
211,exclusively_absent,,estExt_fgenesh1_pg.C_chr_802_t20449,AO090010000171
212,core,AFUA_7G06360,fgenesh1_pg.chr_102_#_278,AO090010000626
213,unique,,MIX14251_1_3,
214,core,AFUA_3G12530,estExt_fgenesh1_pm.C_chr_402_t10443,AO090005000715
215,unique,AFUA_1G10012,,
216,core,AFUA_6G12530,estExt_Genemark1.C_chr_802_t20348,AO090003000364
217,core,AFUA_6G14330,estExt_Genemark1.C_chr_802_t20436,AO090103000420
218,core,AFUA_3G08020,e_gw1.402.156.1,AO090005001480
219,core,AFUA_2G05180,MIX9273_5_9,AO090103000415
220,unique,,e_gw1.102.801.1,
221,core,AFUA_6G12400,MIX28711_719_79,AO090009000174
222,unique,,,AO090102000218
223,core,AFUA_1G05830,e_gw1.801.489.1,AO090009000349
224,core,AFUA_1G04260,gm1.1752_g,AO090003000924
225,unique,,,AO090701000530
226,core,AFUA_2G15130,estExt_fgenesh1_pg.C_chr_2010250,AO090038000449
227,unique,,,AO090026000013
228,core,AFUA_5G04010,e_gw1.101.621.1,AO090102000604
229,unique,,MIX1845_2_4,
230,core,AFUA_5G09190,estExt_fgenesh1_pg.C_chr_401_t10276,AO090020000515
231,core,AFUA_3G04210,estExt_Genewise1Plus.C_chr_202_t10029,AO090124000083
232,core,AFUA_4G08920,estExt_fgenesh1_pg.C_chr_602_t10306,AO090023000642
233,exclusively_absent,AFUA_6G10390,fgenesh1_pm.chr_701_#_64,
234,core,AFUA_1G15010,fgenesh1_pg.chr_202_#_1027,AO090005001226
235,core,AFUA_2G13440,estExt_fgenesh1_pg.C_chr_402_t10198,AO090026000323
