"Afumigatus";"cluster"
"AFUA_1G10380";"cluster_3"
"AFUA_2G12150";"cluster_12"
"AFUA_1G17200";"cluster_13"
"AFUA_5G11810";"cluster_15"
"AFUA_4G10780";"cluster_16"
"AFUA_5G02570";"cluster_25"
"AFUA_6G06540";"cluster_35"
"AFUA_5G07180";"cluster_36"
"AFUA_6G11910";"cluster_36"
"AFUA_5G07190";"cluster_36"
"AFUA_5G12660";"cluster_37"
"AFUA_5G12650";"cluster_37"
"AFUA_2G13520";"cluster_38"
"AFUA_4G11560";"cluster_39"
"AFUA_8G04740";"cluster_48"
"AFUA_8G04730";"cluster_48"
"AFUA_2G16420";"cluster_46"
"AFUA_3G07860";"cluster_44"
"AFUA_2G07960";"cluster_50"
"AFUA_2G07970";"cluster_50"
"AFUA_4G14070";"cluster_53"
"AFUA_5G08700";"cluster_56"
"AFUA_5G08690";"cluster_56"
"AFUA_6G11010";"cluster_57"
"AFUA_5G13380";"cluster_58"
"AFUA_3G06790";"cluster_63"
"AFUA_6G08240";"cluster_64"
"AFUA_2G08440";"cluster_67"
"AFUA_5G02140";"cluster_68"
"AFUA_2G01290";"cluster_66"
"AFUA_1G17740";"cluster_69"
"AFUA_5G12670";"cluster_72"
"AFUA_5G12680";"cluster_72"
"AFUA_3G01410";"cluster_75"
"AFUA_2G05470";"cluster_77"
"AFUA_2G05450";"cluster_77"
"AFUA_2G10730";"cluster_83"
"AFUA_2G10740";"cluster_83"
"AFUA_5G09220";"cluster_81"
"AFUA_1G11450";"cluster_86"
"AFUA_1G11460";"cluster_86"
"AFUA_6G11310";"cluster_87"
"AFUA_2G10070";"cluster_87"
"AFUA_6G07440";"cluster_78"
"AFUA_7G05790";"cluster_91"
"AFUA_7G05800";"cluster_91"
"AFUA_3G02530";"cluster_94"
"AFUA_4G04760";"cluster_97"
"AFUA_3G04300";"cluster_105"
"AFUA_3G04240";"cluster_105"
"AFUA_2G09120";"cluster_106"
"AFUA_2G09100";"cluster_106"
"AFUA_2G11270";"cluster_107"
"AFUA_3G00910";"cluster_107"
"AFUA_1G15440";"cluster_107"
"AFUA_2G03030";"cluster_41"
"AFUA_2G10270";"cluster_100"
"AFUA_3G12550";"cluster_113"
"AFUA_3G10240";"cluster_114"
"AFUA_3G15270";"cluster_116"
