"Aniger";"cluster"
"1176805";"cluster_1"
"1166576";"cluster_1"
"1137433";"cluster_1"
"1219101";"cluster_1"
"1092546";"cluster_1"
"1219103";"cluster_1"
"1124823";"cluster_1"
"1109185";"cluster_1"
"1062032";"cluster_1"
"1219105";"cluster_1"
"1124824";"cluster_1"
"1109186";"cluster_1"
"1092436";"cluster_1"
"1066730";"cluster_1"
"118601";"cluster_1"
"1068653";"cluster_1"
"1092269";"cluster_1"
"1109184";"cluster_1"
"1124822";"cluster_1"
"1219099";"cluster_1"
"1159397";"cluster_1"
"1219107";"cluster_1"
"1153377";"cluster_1"
"1219108";"cluster_1"
"1146070";"cluster_1"
"1186428";"cluster_1"
"1155376";"cluster_3"
"1227500";"cluster_3"
"1098894";"cluster_3"
"52774";"cluster_3"
"1160938";"cluster_3"
"1129456";"cluster_3"
"1077137";"cluster_3"
"1227498";"cluster_3"
"1140485";"cluster_3"
"1168912";"cluster_3"
"1188897";"cluster_3"
"1179943";"cluster_3"
"1227504";"cluster_3"
"1113810";"cluster_3"
"1227502";"cluster_3"
"1073154";"cluster_3"
"1148183";"cluster_3"
"1148184";"cluster_3"
"1113809";"cluster_3"
"1208547";"cluster_4"
"1073657";"cluster_4"
"1133445";"cluster_4"
"1163524";"cluster_4"
"1085834";"cluster_4"
"1103534";"cluster_4"
"1172697";"cluster_4"
"1183226";"cluster_4"
"1150788";"cluster_4"
"1103536";"cluster_4"
"1208551";"cluster_4"
"1076803";"cluster_4"
"1085410";"cluster_4"
"1119150";"cluster_4"
"1157417";"cluster_4"
"1208549";"cluster_4"
"1073646";"cluster_4"
"1085877";"cluster_4"
"1103537";"cluster_4"
"1119151";"cluster_4"
"1119149";"cluster_4"
"1085686";"cluster_4"
"1208540";"cluster_4"
"1103535";"cluster_4"
"1073685";"cluster_4"
"1208543";"cluster_4"
"1119147";"cluster_4"
"1085790";"cluster_4"
"1103533";"cluster_4"
"1070034";"cluster_4"
"1119152";"cluster_4"
"1208555";"cluster_4"
"1103538";"cluster_4"
"1085742";"cluster_4"
"1076207";"cluster_4"
"1143350";"cluster_4"
"1119148";"cluster_4"
"1211383";"cluster_5"
"1134589";"cluster_5"
"1071668";"cluster_5"
"1211380";"cluster_5"
"1087130";"cluster_5"
"1151484";"cluster_5"
"1211376";"cluster_5"
"1184085";"cluster_5"
"1173865";"cluster_5"
"1086350";"cluster_5"
"1211385";"cluster_5"
"1120571";"cluster_5"
"1069941";"cluster_5"
"1104936";"cluster_5"
"182031";"cluster_5"
"1086183";"cluster_5"
"1120570";"cluster_5"
"1077955";"cluster_5"
"1104935";"cluster_5"
"1086893";"cluster_5"
"1211382";"cluster_5"
"1104934";"cluster_5"
"1120569";"cluster_5"
"1078067";"cluster_5"
"1086286";"cluster_5"
"1070633";"cluster_5"
"1164338";"cluster_5"
"1125173";"cluster_6"
"55153";"cluster_6"
"1093151";"cluster_6"
"1219710";"cluster_6"
"1109535";"cluster_6"
"1166745";"cluster_6"
"1219712";"cluster_6"
"1137624";"cluster_6"
"1186604";"cluster_6"
"1177000";"cluster_6"
"1125174";"cluster_6"
"1109539";"cluster_6"
"1125176";"cluster_6"
"1092881";"cluster_6"
"1061706";"cluster_6"
"1109541";"cluster_6"
"1092905";"cluster_6"
"1125177";"cluster_6"
"1068117";"cluster_6"
"1109542";"cluster_6"
"1093579";"cluster_6"
"1093498";"cluster_6"
"1125171";"cluster_6"
"1125170";"cluster_6"
"1109538";"cluster_6"
"1109537";"cluster_6"
"1068041";"cluster_6"
"1061187";"cluster_6"
"1146249";"cluster_6"
"1146250";"cluster_6"
"1068326";"cluster_6"
"1182984";"cluster_8"
"1163285";"cluster_8"
"1076170";"cluster_8"
"1118591";"cluster_8"
"1102975";"cluster_8"
"1207599";"cluster_8"
"1133090";"cluster_8"
"1084493";"cluster_8"
"1072211";"cluster_8"
"1118589";"cluster_8"
"1102974";"cluster_8"
"1207601";"cluster_8"
"1084721";"cluster_8"
"1084566";"cluster_8"
"1118590";"cluster_8"
"118599";"cluster_8"
"1073204";"cluster_8"
"1102976";"cluster_8"
"1143154";"cluster_8"
"1172345";"cluster_8"
"1172414";"cluster_11"
"1084831";"cluster_11"
"1207703";"cluster_11"
"1207704";"cluster_11"
"1133165";"cluster_11"
"1084680";"cluster_11"
"1069311";"cluster_11"
"1150571";"cluster_11"
"1207705";"cluster_11"
"43807";"cluster_11"
"1072487";"cluster_11"
"1207706";"cluster_11"
"1084542";"cluster_11"
"1078753";"cluster_11"
"1106345";"cluster_12"
"1106346";"cluster_12"
"1121983";"cluster_12"
"1121982";"cluster_12"
"1185032";"cluster_12"
"1089384";"cluster_12"
"1088895";"cluster_12"
"1175042";"cluster_12"
"1068101";"cluster_12"
"36871";"cluster_12"
"1165242";"cluster_12"
"1135712";"cluster_12"
"1062431";"cluster_12"
"1214488";"cluster_12"
"1061199";"cluster_12"
"1121981";"cluster_12"
"1089917";"cluster_12"
"1214485";"cluster_12"
"1106344";"cluster_12"
"1214491";"cluster_12"
"1152146";"cluster_12"
"1158446";"cluster_12"
"1169434";"cluster_13"
"1114580";"cluster_13"
"1130231";"cluster_13"
"1141153";"cluster_13"
"1098781";"cluster_13"
"1229175";"cluster_13"
"1078070";"cluster_13"
"1099093";"cluster_13"
"207636";"cluster_13"
"1098551";"cluster_13"
"1076153";"cluster_13"
"1114581";"cluster_13"
"1114582";"cluster_13"
"1069260";"cluster_13"
"1130232";"cluster_13"
"1130233";"cluster_13"
"1180637";"cluster_13"
"1189447";"cluster_13"
"1113162";"cluster_15"
"1155144";"cluster_15"
"1097025";"cluster_15"
"1077459";"cluster_15"
"1097062";"cluster_15"
"1073683";"cluster_15"
"1140007";"cluster_15"
"1097461";"cluster_15"
"1160723";"cluster_15"
"186897";"cluster_15"
"1128808";"cluster_15"
"1168488";"cluster_15"
"1128809";"cluster_15"
"1128810";"cluster_15"
"1076141";"cluster_15"
"1113164";"cluster_15"
"1226305";"cluster_15"
"1113163";"cluster_15"
"1188444";"cluster_15"
"1179448";"cluster_15"
"1226307";"cluster_15"
"1155145";"cluster_15"
"1147756";"cluster_15"
"1126820";"cluster_16"
"1064327";"cluster_16"
"1222583";"cluster_16"
"1111175";"cluster_16"
"1160049";"cluster_16"
"1154183";"cluster_16"
"1222581";"cluster_16"
"1126822";"cluster_16"
"1167505";"cluster_16"
"1126819";"cluster_16"
"1187403";"cluster_16"
"1066718";"cluster_16"
"1178004";"cluster_16"
"1111176";"cluster_16"
"1094337";"cluster_16"
"1138601";"cluster_16"
"1111174";"cluster_16"
"1222589";"cluster_16"
"1093952";"cluster_16"
"1067352";"cluster_16"
"51182";"cluster_16"
"1126821";"cluster_16"
"1111177";"cluster_16"
"1094341";"cluster_16"
"1222587";"cluster_16"
"1068690";"cluster_16"
"1094345";"cluster_16"
"1076799";"cluster_17"
"1119475";"cluster_17"
"1085878";"cluster_17"
"1163704";"cluster_17"
"1085173";"cluster_17"
"1119474";"cluster_17"
"1103844";"cluster_17"
"1103843";"cluster_17"
"1076121";"cluster_17"
"1209187";"cluster_17"
"1133751";"cluster_17"
"1183414";"cluster_17"
"1173004";"cluster_17"
"1119473";"cluster_17"
"1085142";"cluster_17"
"1076117";"cluster_17"
"1103842";"cluster_17"
"1209188";"cluster_17"
"1209189";"cluster_17"
"1150962";"cluster_17"
"42205";"cluster_17"
"1140594";"cluster_20"
"1227774";"cluster_20"
"1073004";"cluster_20"
"1188998";"cluster_20"
"1113911";"cluster_20"
"1113910";"cluster_20"
"1129557";"cluster_20"
"1227773";"cluster_20"
"1069240";"cluster_20"
"1160974";"cluster_20"
"1180057";"cluster_20"
"1129556";"cluster_20"
"1155417";"cluster_20"
"176722";"cluster_20"
"1098046";"cluster_20"
"1098578";"cluster_20"
"1227772";"cluster_20"
"1169002";"cluster_20"
"1204043";"cluster_23"
"1082211";"cluster_23"
"1059883";"cluster_23"
"1170931";"cluster_23"
"1204044";"cluster_23"
